epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,1219.34,0.30133,0.38202,0.2284,0.8571,0,0.98711,1,0.98881,0.98582,0.98711,1,0.98881,0.95087,0.1864,0.26933,0.18024,0.76526,0,0.0028225,0.0028225,0.0028225
31,1260.82,0.2593,0.28761,0.23222,0.85121,0,0.96402,1,0.97938,0.96938,0.96402,1,0.97938,0.93569,0.23922,0.26291,0.25313,0.78884,0,0.002575,0.002575,0.002575
32,1300.7,0.25857,0.282,0.23453,0.84474,0,0.98672,1,0.98852,0.98521,0.98672,1,0.98852,0.95606,0.19563,0.25383,0.19335,0.76887,0,0.0023275,0.0023275,0.0023275
33,1340.99,0.23395,0.27464,0.20899,0.84309,0,0.98711,1,0.99333,0.99234,0.98711,1,0.99333,0.95808,0.17663,0.2632,0.175,0.76693,0,0.00208,0.00208,0.00208
34,1381.37,0.2217,0.26733,0.19407,0.83133,0,0.98711,1,0.98823,0.98598,0.98711,1,0.98823,0.96009,0.17562,0.25264,0.17791,0.76063,0,0.0018325,0.0018325,0.0018325
35,1421.09,0.20973,0.26355,0.1889,0.81789,0,0.98711,1,0.99216,0.98956,0.98711,1,0.99216,0.95892,0.16962,0.2503,0.17071,0.75733,0,0.001585,0.001585,0.001585
36,1461.06,0.19361,0.25871,0.17838,0.80963,0,0.98712,1,0.98995,0.98763,0.98712,1,0.98995,0.95523,0.15794,0.2491,0.16312,0.75373,0,0.0013375,0.0013375,0.0013375
37,1501.15,0.18542,0.25719,0.16854,0.80331,0,0.98712,1,0.99325,0.99313,0.98712,1,0.99325,0.96284,0.14631,0.24047,0.15154,0.75154,0,0.00109,0.00109,0.00109
38,1541.41,0.17932,0.2587,0.1607,0.80102,0,0.98716,1,0.99316,0.99298,0.98716,1,0.99316,0.96497,0.13772,0.23331,0.14779,0.74987,0,0.0008425,0.0008425,0.0008425
39,1581.52,0.16515,0.24927,0.15299,0.79664,0,0.98712,1,0.99348,0.99335,0.98712,1,0.99348,0.96693,0.1315,0.23193,0.14138,0.74797,0,0.000595,0.000595,0.000595
40,1621.84,0.15794,0.2439,0.14521,0.79514,0,0.98713,1,0.99424,0.99424,0.98713,1,0.99424,0.96878,0.12596,0.2314,0.13327,0.74598,0,0.0003475,0.0003475,0.0003475
