epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,485.119,1.09073,1.4331,0.73775,1.14969,0,0.91343,0.95785,0.96988,0.74399,0.91297,0.95832,0.96957,0.74252,1.00325,1.23275,1.56007,1.1673,0,0.00333139,0.00333139,0.0700175
2,923.421,1.00624,1.26061,0.5846,1.10257,0,0.96006,0.98766,0.97414,0.77431,0.96051,0.98783,0.97446,0.75009,0.92189,1.18651,1.40409,1.10978,0,0.00644479,0.00644479,0.0397975
3,1365.62,0.95944,1.18167,0.52771,1.07566,0,0.96109,0.99123,0.97758,0.78615,0.96135,0.9915,0.97783,0.76714,0.8705,1.06724,0.96337,1.08255,0,0.00933819,0.00933819,0.0093576
4,1803.23,0.91505,1.12283,0.48556,1.05277,0,0.96773,0.99245,0.97919,0.80658,0.96851,0.99283,0.9793,0.77785,0.82539,1.00722,0.82723,1.05446,0,0.00901,0.00901,0.00901
5,2235.37,0.88995,1.09773,0.4598,1.04398,0,0.9697,0.99171,0.98441,0.82048,0.96967,0.99168,0.9844,0.78725,0.80584,0.99691,0.82439,1.04331,0,0.00868,0.00868,0.00868
6,2684.64,0.86184,1.05988,0.43905,1.03236,0,0.97608,0.98992,0.99083,0.82811,0.97647,0.99031,0.99094,0.79464,0.79866,0.98738,0.79048,1.03996,0,0.00835,0.00835,0.00835
7,3127.38,0.84334,1.04372,0.41855,1.02071,0,0.97818,0.99025,0.99185,0.83709,0.97791,0.9907,0.99188,0.80237,0.77108,0.96748,0.61841,1.02275,0,0.00802,0.00802,0.00802
8,3568.85,0.82994,1.02692,0.4147,1.01652,0,0.97818,0.98821,0.99205,0.84327,0.97815,0.98818,0.99205,0.80573,0.75961,0.93978,0.67781,1.02047,0,0.00769,0.00769,0.00769
9,4009.98,0.80601,0.99716,0.39232,1.00148,0,0.98539,0.98455,0.99137,0.84541,0.98548,0.9847,0.99141,0.80866,0.74436,0.93224,0.5598,1.00856,0,0.00736,0.00736,0.00736
10,4458.79,0.79268,0.98037,0.38597,0.99765,0,0.9832,0.98882,0.99165,0.84874,0.98353,0.98915,0.99169,0.80994,0.73405,0.92327,0.47875,1.00235,0,0.00703,0.00703,0.00703
11,4908.69,0.78254,0.9696,0.38023,0.99237,0,0.98206,0.99014,0.99109,0.85116,0.98248,0.99056,0.99115,0.81519,0.72222,0.90717,0.5482,0.99177,0,0.0067,0.0067,0.0067
12,5354.12,0.7726,0.95947,0.3726,0.98638,0,0.98184,0.98835,0.9912,0.85475,0.98193,0.98844,0.99121,0.81499,0.70712,0.89417,0.59783,0.98629,0,0.00637,0.00637,0.00637
13,5804.24,0.75708,0.94263,0.36388,0.9798,0,0.97794,0.99199,0.99144,0.85759,0.978,0.99205,0.99147,0.81847,0.69809,0.88067,0.49103,0.98258,0,0.00604,0.00604,0.00604
14,6246.38,0.74685,0.92927,0.35549,0.97526,0,0.9842,0.99019,0.99297,0.86274,0.98444,0.99042,0.99298,0.8253,0.68269,0.86609,0.47461,0.97339,0,0.00571,0.00571,0.00571
15,6681.48,0.73873,0.91653,0.34932,0.97033,0,0.98649,0.98635,0.99248,0.86535,0.98655,0.98641,0.99248,0.82456,0.67137,0.85425,0.46134,0.96891,0,0.00538,0.00538,0.00538
16,7126.36,0.72753,0.90849,0.34342,0.96486,0,0.98474,0.98996,0.99205,0.8673,0.98471,0.98993,0.99206,0.82855,0.66115,0.84294,0.50381,0.96317,0,0.00505,0.00505,0.00505
17,7573.2,0.71931,0.89493,0.33888,0.96116,0,0.98194,0.99014,0.99326,0.87027,0.98194,0.99014,0.99326,0.82944,0.65487,0.83401,0.49558,0.95855,0,0.00472,0.00472,0.00472
18,8020.98,0.71198,0.88889,0.33864,0.95669,0,0.98655,0.98629,0.99252,0.87068,0.98652,0.98627,0.99253,0.82802,0.64812,0.82685,0.48421,0.95553,0,0.00439,0.00439,0.00439
19,8471.44,0.69914,0.87191,0.32814,0.95297,0,0.98842,0.98515,0.99321,0.87559,0.98851,0.98524,0.99321,0.83317,0.63545,0.82069,0.44741,0.94992,0,0.00406,0.00406,0.00406
20,8908.69,0.68888,0.86062,0.32362,0.94829,0,0.98455,0.98857,0.99355,0.87724,0.98479,0.98881,0.99357,0.83462,0.62785,0.81217,0.43019,0.9457,0,0.00373,0.00373,0.00373
21,9321.83,0.67048,0.85346,0.303,0.95229,0,0.9853,0.98942,0.99357,0.87876,0.98535,0.98966,0.99358,0.83682,0.6195,0.80455,0.41052,0.94202,0,0.0034,0.0034,0.0034
22,9740.15,0.65615,0.83676,0.29644,0.94743,0,0.9839,0.99248,0.99359,0.88038,0.98396,0.99254,0.99359,0.83775,0.61134,0.79818,0.41762,0.93741,0,0.00307,0.00307,0.00307
23,10166.1,0.64463,0.8247,0.28962,0.9435,0,0.98591,0.99036,0.99289,0.88334,0.98591,0.99036,0.99289,0.83964,0.59947,0.78853,0.42603,0.93124,0,0.00274,0.00274,0.00274
24,10595.2,0.63134,0.81221,0.28391,0.93444,0,0.98471,0.99197,0.99379,0.88552,0.98477,0.99203,0.99379,0.84081,0.58956,0.78483,0.41378,0.92577,0,0.00241,0.00241,0.00241
25,11018.7,0.62488,0.80312,0.27961,0.93064,0,0.98572,0.99179,0.99334,0.88777,0.98572,0.99194,0.99334,0.84342,0.58392,0.77618,0.44318,0.92307,0,0.00208,0.00208,0.00208
26,11445.9,0.61287,0.78908,0.27265,0.92708,0,0.98327,0.99341,0.99369,0.89002,0.98333,0.99347,0.99369,0.84343,0.57546,0.76747,0.39232,0.9183,0,0.00175,0.00175,0.00175
27,11859.5,0.60214,0.78293,0.26697,0.91946,0,0.98448,0.99358,0.99395,0.89238,0.98454,0.99364,0.99395,0.84644,0.5685,0.75959,0.39711,0.91502,0,0.00142,0.00142,0.00142
28,12275.1,0.59117,0.76627,0.26169,0.91295,0,0.98564,0.99187,0.99372,0.89381,0.9857,0.99193,0.99372,0.84731,0.56083,0.7524,0.39878,0.91099,0,0.00109,0.00109,0.00109
29,12703.9,0.58265,0.76434,0.25733,0.90935,0,0.98531,0.99289,0.99401,0.89446,0.98531,0.99289,0.99401,0.8485,0.55624,0.74752,0.36637,0.90928,0,0.00076,0.00076,0.00076
30,13131.4,0.57447,0.75403,0.25264,0.9046,0,0.98706,0.99181,0.99392,0.89577,0.98706,0.99181,0.99392,0.84863,0.5529,0.74254,0.35998,0.9075,0,0.00043,0.00043,0.00043
