epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
26,1181.31,0.35854,0.42874,0.27893,0.88704,0,0.97951,1,0.98698,0.97654,0.97951,1,0.98698,0.93254,0.2499,0.27911,0.24145,0.80654,0,0.0038125,0.0038125,0.0038125
27,1225.8,0.3442,0.41798,0.25475,0.88065,0,0.98397,1,0.98942,0.97258,0.98397,1,0.98942,0.93686,0.24231,0.27802,0.22637,0.80027,0,0.003565,0.003565,0.003565
28,1270.05,0.34369,0.42609,0.25762,0.87913,0,0.98139,1,0.98803,0.98046,0.98139,1,0.98803,0.93943,0.21873,0.29255,0.21666,0.79118,0,0.0033175,0.0033175,0.0033175
29,1314.64,0.33429,0.40923,0.24974,0.8814,0,0.98572,1,0.98885,0.98,0.98572,1,0.98885,0.94451,0.209,0.26478,0.20844,0.78107,0,0.00307,0.00307,0.00307
30,1358.97,0.32901,0.40148,0.24389,0.86948,0,0.98594,1,0.98928,0.98211,0.98594,1,0.98928,0.94025,0.22073,0.27402,0.22006,0.78926,0,0.0028225,0.0028225,0.0028225
31,1403.99,0.2968,0.30289,0.24606,0.88376,0,0.98697,1,0.98768,0.97975,0.98697,1,0.98768,0.94062,0.23874,0.26717,0.22287,0.78951,0,0.002575,0.002575,0.002575
32,1447.79,0.28505,0.28929,0.23638,0.87296,0,0.98675,1,0.98975,0.98584,0.98675,1,0.98975,0.94815,0.21087,0.26052,0.20166,0.78161,0,0.0023275,0.0023275,0.0023275
33,1491.5,0.26883,0.28145,0.2214,0.87102,0,0.98703,1,0.99025,0.98306,0.98703,1,0.99025,0.94349,0.21951,0.27714,0.20502,0.78273,0,0.00208,0.00208,0.00208
34,1535.88,0.25432,0.27725,0.20911,0.85584,0,0.98686,1,0.9899,0.98379,0.98686,1,0.9899,0.94778,0.2135,0.26165,0.1961,0.77694,0,0.0018325,0.0018325,0.0018325
35,1579.36,0.24276,0.27197,0.21027,0.84385,0,0.98718,0.99971,0.99121,0.987,0.98718,0.99971,0.99121,0.95297,0.18577,0.26427,0.18651,0.76965,0,0.001585,0.001585,0.001585
36,1623.02,0.22399,0.2659,0.19517,0.83209,0,0.98709,1,0.99006,0.98774,0.98709,1,0.99006,0.94598,0.18646,0.26099,0.17611,0.76471,0,0.0013375,0.0013375,0.0013375
37,1666.72,0.21226,0.27055,0.18646,0.82518,0,0.98596,1,0.99286,0.98985,0.98596,1,0.99286,0.95421,0.1767,0.25323,0.17112,0.76277,0,0.00109,0.00109,0.00109
38,1710.39,0.20681,0.27151,0.17845,0.81886,0,0.98691,1,0.99212,0.99162,0.98691,1,0.99212,0.957,0.15717,0.24438,0.1598,0.7583,0,0.0008425,0.0008425,0.0008425
39,1754.49,0.19356,0.26173,0.17002,0.81417,0,0.98703,1,0.99338,0.99247,0.98703,1,0.99338,0.96056,0.1589,0.24643,0.15534,0.75634,0,0.000595,0.000595,0.000595
40,1798.29,0.18432,0.25452,0.16261,0.81284,0,0.98703,1,0.99278,0.9923,0.98703,1,0.99278,0.9601,0.14646,0.24477,0.14853,0.75379,0,0.0003475,0.0003475,0.0003475
