epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0671,1.15995,1.4167,1.01456,1.35413,0,0,0,0,0,0,0,0,0,1.57216,16.5078,3.16539,3.08756,0,0.00330769,0.00330769,0.0702308
2,109.896,1.0205,1.08443,0.71918,1.26479,0,0.70981,0.78259,0.80403,0.55196,0.70316,0.77096,0.78338,0.40731,1.20543,2.87182,1.67805,1.73346,0,0.00647666,0.00647666,0.0400664
3,155.064,0.88018,0.89707,0.62414,1.16335,0,0.79039,0.82172,0.83536,0.54603,0.79947,0.83117,0.8639,0.52391,1.3173,2.10117,1.32664,1.61921,0,0.00948063,0.00948063,0.00973704
4,200.79,0.79436,0.79232,0.5801,1.11171,0,0.83294,0.90083,0.92478,0.73133,0.83294,0.90083,0.92576,0.7122,0.81852,0.94359,0.91444,1.2899,0,0.0092575,0.0092575,0.0092575
5,245.819,0.70932,0.73093,0.513,1.07016,0,0.9141,0.96737,0.95423,0.79949,0.91408,0.96717,0.95438,0.8042,0.67849,0.69492,0.62063,1.16825,0,0.00901,0.00901,0.00901
6,290.7,0.67453,0.68796,0.4877,1.03988,0,0.94914,1,0.97684,0.87061,0.94914,1,0.97684,0.87017,0.54027,0.45489,0.47792,1.00405,0,0.0087625,0.0087625,0.0087625
7,335.494,0.62337,0.65818,0.46478,1.00961,0,0.94941,1,0.96719,0.88148,0.94941,1,0.96719,0.86307,0.46221,0.41351,0.42906,0.94543,0,0.008515,0.008515,0.008515
8,380.269,0.58129,0.62295,0.43027,0.99112,0,0.94302,0.99882,0.96486,0.85398,0.94302,0.99882,0.96486,0.84883,0.54906,0.43716,0.46687,1.03651,0,0.0082675,0.0082675,0.0082675
9,424.939,0.59163,0.61847,0.42976,0.98471,0,0.95046,1,0.97379,0.88468,0.95046,1,0.97379,0.86511,0.48201,0.45319,0.43553,0.9431,0,0.00802,0.00802,0.00802
10,469.71,0.5556,0.56825,0.39447,0.97658,0,0.95087,0.99882,0.96592,0.90489,0.95124,1,0.96595,0.88101,0.41315,0.36404,0.44708,0.90519,0,0.0077725,0.0077725,0.0077725
11,514.911,0.52408,0.54361,0.38935,0.95276,0,0.94961,0.99882,0.96943,0.93265,0.94961,0.99882,0.96943,0.88385,0.36209,0.3766,0.37822,0.87581,0,0.007525,0.007525,0.007525
12,559.592,0.50515,0.54793,0.37976,0.9512,0,0.94962,1,0.96762,0.90826,0.94962,1,0.96762,0.88117,0.39709,0.36261,0.41753,0.89948,0,0.0072775,0.0072775,0.0072775
13,603.827,0.50079,0.55515,0.37757,0.9479,0,0.95152,1,0.96856,0.9333,0.95152,1,0.96856,0.89155,0.35989,0.35725,0.37006,0.88271,0,0.00703,0.00703,0.00703
14,648.297,0.47459,0.51871,0.35763,0.93298,0,0.94929,1,0.96788,0.92507,0.94929,1,0.96788,0.87902,0.35623,0.37994,0.35376,0.85795,0,0.0067825,0.0067825,0.0067825
15,692.379,0.47169,0.51435,0.35584,0.92975,0,0.95097,1,0.97001,0.93457,0.95097,1,0.97001,0.89567,0.33308,0.32928,0.3473,0.8445,0,0.006535,0.006535,0.006535
16,737.021,0.44984,0.49263,0.33385,0.92233,0,0.95441,1,0.97447,0.93642,0.95441,1,0.97447,0.90493,0.34589,0.32355,0.34059,0.87426,0,0.0062875,0.0062875,0.0062875
17,781.772,0.42571,0.47713,0.32229,0.91093,0,0.95467,1,0.97054,0.94213,0.95467,1,0.97054,0.89812,0.31221,0.32475,0.34588,0.84618,0,0.00604,0.00604,0.00604
18,826.178,0.41656,0.47069,0.30915,0.90661,0,0.95154,1,0.98391,0.95464,0.95154,1,0.98391,0.91572,0.28704,0.31421,0.30802,0.81882,0,0.0057925,0.0057925,0.0057925
19,870.457,0.41764,0.46881,0.32126,0.90853,0,0.95439,1,0.985,0.96442,0.95439,1,0.985,0.91264,0.28694,0.32687,0.302,0.8224,0,0.005545,0.005545,0.005545
20,914.865,0.41753,0.47543,0.31083,0.90377,0,0.9565,1,0.98108,0.9594,0.9565,1,0.98108,0.913,0.27463,0.30931,0.29673,0.82046,0,0.0052975,0.0052975,0.0052975
21,959.177,0.40247,0.46443,0.30922,0.90339,0,0.96829,1,0.98593,0.96187,0.96829,1,0.98593,0.91245,0.29326,0.31563,0.297,0.82385,0,0.00505,0.00505,0.00505
22,1003.59,0.39536,0.44953,0.29073,0.8975,0,0.97367,1,0.98614,0.96675,0.97367,1,0.98614,0.92701,0.27099,0.28948,0.27715,0.81591,0,0.0048025,0.0048025,0.0048025
23,1048.11,0.38953,0.44821,0.28343,0.89854,0,0.96236,1,0.98437,0.97122,0.96236,1,0.98437,0.93001,0.27385,0.29815,0.27159,0.81499,0,0.004555,0.004555,0.004555
24,1092.71,0.3746,0.43372,0.2739,0.88706,0,0.9807,1,0.9875,0.97259,0.9807,1,0.9875,0.93062,0.26515,0.30296,0.2512,0.8067,0,0.0043075,0.0043075,0.0043075
25,1137.18,0.37128,0.43778,0.28169,0.88835,0,0.97524,1,0.98695,0.96343,0.97524,1,0.98695,0.92431,0.27518,0.28749,0.25669,0.81943,0,0.00406,0.00406,0.00406
